Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15576808,2016/2/27 17:14,2016/2/27 18:08,70379,3223,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15576809,2016/2/27 17:14,2016/2/27 18:08,70452,3203,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15576827,2016/2/27 17:28,2016/2/27 18:08,70275,2379,1049,S 12th St & E Carson St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576844,2016/2/27 17:35,2016/2/27 18:08,70342,1960,1049,S 12th St & E Carson St,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
15576868,2016/2/27 17:47,2016/2/27 18:32,70475,2690,1003,First Ave & Smithfield St (Art Institute),1002,Third Ave & Wood St,Customer
15576910,2016/2/27 18:12,2016/2/27 18:29,70319,1075,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1021,Taylor St & Liberty Ave,Customer
15577023,2016/2/27 19:12,2016/2/27 19:39,70237,1639,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1002,Third Ave & Wood St,Customer
15577049,2016/2/27 19:29,2016/2/27 19:31,70206,161,1020,42nd and Penn Ave.,1019,42nd St & Butler St,Subscriber
15577069,2016/2/27 19:39,2016/2/27 19:43,70306,237,1025,Penn Ave & N Fairmount St,1030,S Euclid Ave & Centre Ave,Subscriber
15577195,2016/2/27 21:06,2016/2/27 21:09,70360,174,1024,S Negley Ave & Baum Blvd,1023,Liberty Ave & Baum Blvd,Subscriber
15577262,2016/2/27 21:58,2016/2/27 22:14,70241,939,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1018,37th St & Butler St,Customer
15577263,2016/2/27 21:58,2016/2/27 22:14,70236,936,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1018,37th St & Butler St,Customer
15577313,2016/2/27 23:04,2016/2/27 23:21,70480,1030,1006,Ross St & Sixth Ave (Steel Plaza T Station),1018,37th St & Butler St,Customer
15577314,2016/2/27 23:05,2016/2/27 23:08,70342,207,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
