TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
15205455,2015/12/3 15:54,2015/12/3 16:17,70029,1376,1032,Maryland Ave & Walnut St,1020,42nd St & Penn Ave (Children's Hospital),Customer
15205540,2015/12/3 16:20,2015/12/3 16:37,70269,1019,1005,Forbes Ave & Grant St,1046,S 25th St & E Carson St,Customer
15205579,2015/12/3 16:31,2015/12/3 16:35,70394,240,1028,Penn Ave & Putnam St -- Bakery Square,1029,Alder St & S Highland Ave,Subscriber
15205626,2015/12/3 16:44,2015/12/3 16:59,70335,907,1000,Liberty Ave & Stanwix St.,1047,S 22nd St & E Carson St,Subscriber
15205635,2015/12/3 16:47,2015/12/3 17:06,70096,1143,1049,S 12th St & E Carson St,1006,Ross St & Sixth Ave (Steel Plaza T Station),Subscriber
15205689,2015/12/3 17:04,2015/12/3 17:09,70465,269,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15205694,2015/12/3 17:05,2015/12/3 17:23,70191,1081,1040,Bigelow Blvd & 5th Ave,1024,S Negley Ave & Baum Blvd,Subscriber
15205712,2015/12/3 17:11,2015/12/3 17:11,70081,17,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15205730,2015/12/3 17:17,2015/12/3 17:21,70353,266,1009,12th St & Penn Ave,1016,17th St & Penn Ave,Subscriber
15205734,2015/12/3 17:19,2015/12/3 17:31,70150,724,1019,42nd St & Butler St,1017,21st St & Penn Ave,Subscriber
15205738,2015/12/3 17:20,2015/12/3 17:26,70200,335,1021,Taylor St & Liberty Ave,1023,Liberty Ave & Baum Blvd,Subscriber
15205744,2015/12/3 17:23,2015/12/3 17:28,70026,302,1040,Bigelow Blvd & 5th Ave,1039,Atwood St & Bates St,Subscriber
15205786,2015/12/3 17:39,2015/12/3 17:43,70389,253,1041,Fifth Ave & S Bouquet St,1044,Zulema St & Coltart Ave,Subscriber
15205799,2015/12/3 17:43,2015/12/3 17:48,70394,277,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
15205833,2015/12/3 17:57,2015/12/3 18:14,70325,1020,1020,42nd St & Penn Ave (Children's Hospital),1000,Liberty Ave & Stanwix St.,Subscriber
15205877,2015/12/3 18:14,2015/12/3 18:31,70076,991,1005,Forbes Ave & Grant St,1017,21st St & Penn Ave,Customer
15205921,2015/12/3 18:26,2015/12/3 18:35,70338,523,1033,Ivy St & Walnut St,1025,Penn Ave & N Fairmount St,Subscriber
15205939,2015/12/3 18:33,2015/12/3 18:43,70103,565,1043,Coltart Ave & Forbes Ave,1035,Fifth Ave & S Dithridge St,Subscriber
15206024,2015/12/3 19:06,2015/12/3 19:15,70249,573,1016,17th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15206037,2015/12/3 19:12,2015/12/3 19:12,70172,34,,Missing,1032,Maryland Ave & Walnut St,Customer
15206057,2015/12/3 19:24,2015/12/3 19:29,70370,273,1036,Schenley Dr at Schenley Plaza (Carnegie Library,,,
15206076,2015/12/3 19:34,2015/12/3 19:42,70104,501,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15206084,2015/12/3 19:37,2015/12/3 19:48,70397,676,1001,Forbes Ave & Market Square,1014,Ridge Ave & Brighton Rd (CCAC),Subscriber
